"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNA049453841",27.8187485316039,-0.441079425264724,0.567245022945064,-0.77758183399247,0.436815573810555,0.756356324138054
"ENSRNA049454125",0.0648877727423576,0,6.00582262391439,0,1,NA
"ENSRNA049454571",1.74881630869106,0.113143167249573,1.25708637040684,0.0900042908053772,0.928283805100358,NA
"ENSRNA049454750",4.30781941193807,0.884533368272573,0.94462207997624,0.936388622521741,0.349073133730442,0.691431432853139
"ENSRNA049454767",0.13815140676487,0,6.00582262390916,0,1,NA
"ENSRNA049455185",2.36409590916973,0.653187884556664,1.14747443927442,0.569239594539199,0.569193553788121,0.839741085218767
"ENSRNA049455425",4.21485348001565,-0.306064763402219,0.644312599457505,-0.475025265158431,0.634768965276167,0.869458597440198
"ENSRNA049455608",59.2196007119811,-0.77661555590879,0.42809490376112,-1.81412006797013,0.0696592426109293,0.305958583494404
"ENSRNA049455955",0.123059176007921,0,6.00582262393133,0,1,NA
"ENSRNA049456300",0.285455549736997,0,6.00582262389998,0,1,NA
"ENSRNA049456343",16.2470803970655,-0.355587891605437,0.65259426864853,-0.544883565008671,0.585833600401783,0.846663115903138
"ENSRNA049456385",0.373563184961728,0,6.00582262388777,0,1,NA
"ENSRNA049456416",0.389338702122734,0,4.75974076230994,0,1,NA
"ENSRNA049456552",18.6011246606725,-0.372573478160788,0.679201145965313,-0.548546598270633,0.583316642150244,0.845934196889495
"ENSRNA049456692",0.671983494236924,-1.99591866767043,2.80998890301821,-0.71029414583332,0.477521749346699,NA
"ENSRNA049456702",0.61866102128813,-1.39194460510385,2.1579252464601,-0.645038379984303,0.518902314277171,NA
"ENSRNA049456719",3.63960970652907,-0.370040758313509,0.714327497532161,-0.518026758863288,0.604439599563793,0.855212190719027
"ENSRNA049456769",0.290088569230782,-1.9434376391509,5.9709756450461,-0.325480751334716,0.744817248452249,NA
"ENSRNA049456789",0.0452857105242671,1.01706987348158,6.00582262393133,0.169347304635483,0.865523469548378,NA
"ENSRNA049457503",1.05506567803972,-1.19010169534723,1.72464166029575,-0.690057374088451,0.490158107603404,NA
"ENSRNA049457531",2.02786114381083,-0.366334234281767,0.767755112189781,-0.477149846956947,0.633255421453318,0.868850443114425
"ENSRNA049457570",0.764060353432764,3.39316143932903,2.23099514909379,1.52091834027846,0.128280330888546,NA
"ENSRNA049457749",0.223427341596086,1.54321620558285,5.53491976118158,0.278814557783835,0.780387141818317,NA
"ENSRNA049457777",0.0433636621006906,1.01706987348158,6.00582262393133,0.169347304635483,0.865523469548378,NA
"ENSRNA049458426",0.466015700477645,0.443435918141498,1.88138638626384,0.235696357419753,0.813668296633215,NA
