"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNA049453841",27.8187485316039,0.275866579634473,0.508934296374104,0.542047532657714,0.587785761521997,0.738897839019831
"ENSRNA049454125",0.0648877727423576,0,6.00631008342227,0,1,NA
"ENSRNA049454571",1.74881630869106,-0.161223142318318,1.23545638362376,-0.130496830527865,0.896173361573923,NA
"ENSRNA049454750",4.30781941193807,-2.37567128806184,0.978275880126647,-2.42842672125811,0.0151644892384826,0.0498123452380297
"ENSRNA049454767",0.13815140676487,0,6.00631008342227,0,1,NA
"ENSRNA049455185",2.36409590916973,0.562477956646143,1.46474069771067,0.384011967118326,0.700969577797269,0.816158331414475
"ENSRNA049455425",4.21485348001565,1.2219462972483,1.30124567203028,0.939058875286593,0.347700517146867,0.523778156586422
"ENSRNA049455608",59.2196007119811,-1.26300945254681,0.376626697001243,-3.35347829190834,0.000798026734328479,0.00429510805271849
"ENSRNA049455955",0.123059176007921,-1.08255651816186,6.00631008342226,-0.180236535098275,0.856966877207106,NA
"ENSRNA049456300",0.285455549736997,-2.06641899722802,5.9740995577001,-0.345896310777845,0.729420641290951,NA
"ENSRNA049456343",16.2470803970655,0.58142719829957,0.522051411648041,1.11373551594102,0.265392668051429,0.438435932382673
"ENSRNA049456385",0.373563184961728,2.11714778638704,5.96150233196063,0.355136619680018,0.722487243833366,NA
"ENSRNA049456416",0.389338702122734,1.65414520426263,4.73239618369569,0.349536501183392,0.726686572765972,NA
"ENSRNA049456552",18.6011246606725,-1.02789347011617,0.651841139417962,-1.57690794268368,0.114816708694248,0.240518054422619
"ENSRNA049456692",0.671983494236924,1.12265879834041,2.79695715296131,0.401385769228458,0.688136125081209,NA
"ENSRNA049456702",0.61866102128813,0.900100859588224,2.28335963128824,0.394200215881192,0.693433226319584,NA
"ENSRNA049456719",3.63960970652907,-0.198989411121192,0.924173651922523,-0.215316040126487,0.829520924691687,0.913332466035359
"ENSRNA049456769",0.290088569230782,0.981198583110873,5.9958201379324,0.163647100903402,0.870008963342378,NA
"ENSRNA049456789",0.0452857105242671,0,6.00631008342226,0,1,NA
"ENSRNA049457503",1.05506567803972,1.62172687454238,2.00399864670696,0.809245493856621,0.41837395143595,NA
"ENSRNA049457531",2.02786114381083,-2.98270298630413,1.50279425195515,-1.98477135670675,0.0471699156569324,NA
"ENSRNA049457570",0.764060353432764,-1.08257280365007,2.44741606934899,-0.442332963817644,0.65824828064003,NA
"ENSRNA049457749",0.223427341596086,0,5.5988585283866,0,1,NA
"ENSRNA049457777",0.0433636621006906,0,6.00631008342226,0,1,NA
"ENSRNA049458426",0.466015700477645,0,2.25693976222028,0,1,NA
"ENSRNA049458448",0.3658630451025,0,3.55328683843453,0,1,NA
"ENSRNA049458467",0.789255331976106,0,1.95527162213348,0,1,NA
"ENSRNA049458495",0.753523195861308,2.71802235391787,3.10586705414778,0.875125144293617,0.381505817171963,NA
"ENSRNA049458582",0.518101253277643,1.64503315477985,2.42872727708649,0.677323127343159,0.498200960255873,NA
"ENSRNA049458634",0.609054403832224,1.95319720863911,2.30017930174732,0.849149980245179,0.395797842244478,NA
"ENSRNA049458706",0.425860258614826,0,2.36348398695066,0,1,NA
"ENSRNA049458722",0.596153751011162,-1.08257266109307,2.50064192944491,-0.432917903337475,0.665074412974252,NA
"ENSRNA049458758",0.156451517341621,0,6.00631008342227,0,1,NA
"ENSRNA049458782",13.2909700379659,-0.959601674489257,0.806426003923166,-1.18994386319502,0.23406845684903,0.401048594231464
"ENSRNA049458795",1.97044642050654,0,1.78545848873574,0,1,NA
"ENSRNA049458812",2.0007617958557,1.21358503705373,1.54601983790774,0.784973780605623,0.432468941488997,NA
"ENSRNA049458826",12.7126040756554,-0.92104348973658,0.880375989641862,-1.04619333168237,0.295471781016998,0.471617978915969
"ENSRNA049458846",1.58119751813616,0.668252416856887,1.7138923152136,0.38990338595083,0.69660799005119,NA
"ENSRNA049458874",1.60241034689446,-0.916949977919878,1.65696414843826,-0.553391561781306,0.579995315765569,NA
"ENSRNA049458957",3.13344054139385,2.24128447186348,1.51013918659616,1.48415754769951,0.137767129131076,0.275641428335378
"ENSRNA049458986",2.70368459608129,-1.54825954666985,1.51915355624503,-1.01915934719382,0.30812732296123,0.482902566627333
"ENSRNA049459026",0.114155890248623,0,6.00631008342227,0,1,NA
"ENSRNA049459076",3.00786522018618,0.665649622056651,1.6498336625893,0.403464686865439,0.686606407920865,0.806207673030085
"ENSRNA049459101",10.615981808898,0.197629380470162,0.574863180147132,0.343785073205732,0.731007926648672,0.840197692923867
"ENSRNA049459132",6.16345466010205,-2.73625113529729,1.32367408728736,-2.0671637841795,0.0387187234823637,0.105578887717885
"ENSRNA049459156",2.90845977862214,0.769933546403852,1.66650526709806,0.462004868274172,0.644077829320179,0.775229331154841
"ENSRNA049459180",1.43051749315659,0,1.85900158165645,0,1,NA
"ENSRNA049459243",0.144924808707947,0,6.00631008342227,0,1,NA
"ENSRNA049459267",4.08388902026983,0.790723829686835,1.36712076067204,0.578386235096113,0.563003385098649,0.719257273797951
"ENSRNA049459300",11.7635426374614,1.10340385109115,0.706186945184437,1.56248123618735,0.118174662819419,0.245910382501251
"ENSRNA049459833",0.277149737969206,0,4.25910587952621,0,1,NA
"ENSRNA049459930",0.065993104683366,0,6.00631008342227,0,1,NA
"ENSRNA049460030",0.367047329930019,0.785662808672717,3.12363350909109,0.25152208362028,0.80141049059821,NA
"ENSRNA049460169",78.1108278077062,1.09533150654384,0.280357193216265,3.90691422602063,9.34823195447583e-05,0.000659407681505981
"ENSRNA049460407",0.383994871493734,-0.548260414685682,5.98376069034042,-0.0916247228220103,0.926996208098262,NA
"ENSRNA049460422",6.62577506041638,-0.890884370127206,0.80894788122445,-1.10128772298499,0.270771452722748,0.444396060558607
"ENSRNA049460686",1.5197269422332,-3.51883105148159,1.85288907774003,-1.89910507528789,0.0575506619482418,NA
"ENSRNA049460705",54.5624341670606,-0.201701154929418,0.439738267313855,-0.458684562891265,0.646460701166245,0.777097352760219
"ENSRNA049460733",13.3829379188348,-1.38767221176243,0.691143197916508,-2.00779261945375,0.0446653334628783,0.118082217825027
"ENSRNA049460753",2.97328416211306,2.01131897615557,1.16313364468569,1.7292243117076,0.0837689567840285,0.191578309968675
"ENSRNA049461002",0.207961860253087,-1.08255651816186,6.00631008342226,-0.180236535098275,0.856966877207106,NA
"ENSRNA049461441",0.95926141126437,-0.875042818314102,1.96208707470868,-0.445975527586625,0.65561492360227,NA
"ENSRNA049461457",4.25680709276968,-2.4627337724928,0.967532875834996,-2.54537477123702,0.0109160510315827,0.03828339287981
"ENSRNA049461468",1.08270778540193,0.0691549811288971,2.2018907589723,0.0314070899508086,0.974944886978913,NA
"ENSRNA049461505",0.111418465380921,0,6.00631008342226,0,1,NA
"ENSRNA049461520",0.768339601695421,0.508474621866535,5.91413826009146,0.0859761134259771,0.931485405626371,NA
"ENSRNA049461556",0.213055093738023,0,3.88913510677187,0,1,NA
"ENSRNA049461578",0.363448248589532,0,3.33514662599845,0,1,NA
"ENSRNA049461590",0.346657692805814,0,3.48942291443012,0,1,NA
"ENSRNA049461612",2.01005134338604,-0.306993180173227,1.22690107993725,-0.250218363316567,0.802418484979948,NA
"ENSRNA049461634",0.550620037629786,0.922963648042077,2.65270873235197,0.347932525265881,0.727890857932536,NA
"ENSRNA049461681",0.133527973529561,0,6.00631008342226,0,1,NA
"ENSRNA049461717",0.395925707467742,0,2.56792084206763,0,1,NA
"ENSRNA049461732",1.23177752947973,0.142370271316228,1.88068678395064,0.0757012132648479,0.93965681071961,NA
"ENSRNA049461747",0.751861886231016,0,2.44119815017882,0,1,NA
"ENSRNA049461765",0.795834264102163,0.676226505737642,1.98627299580401,0.340449931689232,0.733517721852202,NA
"ENSRNA049462071",8.36794221378478,0.0733630223788718,0.675227036744978,0.10864941476948,0.913480565396347,0.966463189715921
"ENSRNA049462250",4.67346292127835,-1.5897501823572,0.98198517254621,-1.61891465044742,0.105465628220601,0.225836274978363
"ENSRNA049462318",5.8091740600162,-0.330567784088931,0.795739613266149,-0.415422053367559,0.677832965215477,0.800161284602242
"ENSRNA049462331",14.1815827964337,1.48564098647205,0.729523098960482,2.0364550328687,0.0417046841078248,0.111864891174893
"ENSRNA049462348",3.31333366776047,-0.155389259341049,1.06451686588785,-0.145971627430674,0.883943786513655,0.948495780498961
"ENSRNA049463024",0.17707528403398,0,5.83911915532434,0,1,NA
"ENSRNA049463047",0.948604556591115,1.86855138077389,1.93939215517822,0.963472692093145,0.335310361914339,NA
"ENSRNA049463067",1.32731426297928,-1.94573085388202,1.75883832904825,-1.10625906983441,0.268614402143299,NA
"ENSRNA049463085",0.452438859471287,0.790086038971287,2.72012480490111,0.290459480957533,0.771464744710859,NA
"ENSRNA049463137",0.0723960311951578,0,6.00631008342226,0,1,NA
"ENSRNA049463233",5.7639238066167,3.33170732037265,1.10991422723895,3.00177008151403,0.00268414818933777,0.0120403385968638
"ENSRNA049463586",0.295463181594179,0,2.48575875706632,0,1,NA
"ENSRNA049463630",1.49824800043224,-1.08257432476286,1.78316731175279,-0.60710754264485,0.543779544898225,NA
"ENSRNA049463738",0.424451512054041,0.949495832052721,3.36639887860288,0.28205089957931,0.77790448172389,NA
"ENSRNA049463761",0.897492260227683,0.860698263633973,1.86598960250347,0.461255658916445,0.644615193392655,NA
"ENSRNA049463774",5.75695765729255,0.540856592411311,0.916024148919623,0.59043922919413,0.554896216821513,0.713685745550659
"ENSRNA049463790",35.9117415572191,0.0657304448415731,0.45963988751652,0.143004222711656,0.886286846230852,0.950150479239619
"ENSRNA049463813",0.615308765608795,1.41445606852342,5.9498054100534,0.237731483811791,0.812089363052219,NA
"ENSRNA049463828",266.272671326734,0.787214019992408,0.34583778174779,2.27625222442151,0.0228309177943988,0.069297678792971
