"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNA049453841",21.6559360928197,-1.88530546738582,1.0428706140609,-1.80780380803378,0.0706370408957167,0.243853342102096
"ENSRNA049454571",4.32560392876769,1.08718236786036,1.45552037271734,0.746937238556598,0.455101446337214,0.70438669441891
"ENSRNA049454750",1.09980880199869,0.0847680500260846,1.71584142870511,0.0494031957778617,0.960597981411321,NA
"ENSRNA049454767",0.0636674438004092,0,6.00631008342226,0,1,NA
"ENSRNA049455185",6.65787198528993,1.34141855942866,1.06828995289934,1.25566898367624,0.20923600902705,0.463763679368045
"ENSRNA049455202",0.0773749218956119,0.291892597069769,6.00631008342226,0.0485976569666971,0.961239937230373,NA
"ENSRNA049455313",0.55207664628695,-3.70175498216706,5.77607040347494,-0.640877746216537,0.521602115365973,NA
"ENSRNA049455425",5.36234799699805,-2.57836994902022,2.00737114901906,-1.28445103451855,0.198984185947183,0.450590785288728
"ENSRNA049455608",12.6979508150815,-1.46523072817471,0.843656678293247,-1.73676184385683,0.0824292165860535,0.266596081592987
"ENSRNA049455651",0.302748955258427,0,5.51218962135041,0,1,NA
"ENSRNA049456343",7.85574375347906,-1.58878649720653,1.16695368292989,-1.36148205404137,0.173361401020196,0.416340168447832
"ENSRNA049456385",0.359105351574709,-1.63168685918309,3.25919823549263,-0.500640569025239,0.61662410541998,NA
"ENSRNA049456416",0.15539047560654,-2.25087221051088,5.99519678718273,-0.375445926199298,0.707328854535393,NA
"ENSRNA049456552",2.69346860981481,0.0843711284759433,0.964034698193373,0.0875187673577072,0.930259168473328,NA
"ENSRNA049456692",0.140381773149432,0,6.00631008342226,0,1,NA
"ENSRNA049456702",0.325522748065313,0,4.51914913312875,0,1,NA
"ENSRNA049456719",0.654265346687155,-0.669896835727799,2.44101163234938,-0.274434102177157,0.783751038867053,NA
"ENSRNA049457503",0.383209254601007,-0.669892232743491,4.43854573191822,-0.150926062995409,0.880034040685357,NA
"ENSRNA049457531",1.91443006804437,1.13426730345104,1.83392131556216,0.618492894883742,0.536250479941705,NA
"ENSRNA049457570",0.0812619732154933,0,6.00631008342227,0,1,NA
"ENSRNA049457749",0.93702719836786,0,6.00631008342227,0,1,NA
"ENSRNA049457777",0.185859023656111,-1.6316660926088,6.00631008342226,-0.271658650643477,0.785884497933349,NA
"ENSRNA049458426",0.285845457429019,0,4.63783289763853,0,1,NA
"ENSRNA049458448",0.350367825388989,-1.63168687626895,3.25598385917537,-0.501134817259875,0.616276244658367,NA
"ENSRNA049458467",0.339341221766143,1.45430264735298,3.76321395051996,0.386452289578711,0.699161730631554,NA
"ENSRNA049458495",0.626991416602076,0.897306077380454,2.27256614940944,0.394842666125971,0.692959004861911,NA
"ENSRNA049458582",0.337142548121551,1.61924229679425,2.84498598514506,0.569156510875288,0.569249930915572,NA
"ENSRNA049458634",0.369466741080473,-1.63168683255799,3.26420092329268,-0.49987328320221,0.617164305460018,NA
"ENSRNA049458706",0.203717502534285,0.291892597069769,6.00631008342227,0.048597656966697,0.961239937230373,NA
"ENSRNA049458722",0.0814314795040966,0,6.00631008342227,0,1,NA
"ENSRNA049458758",0.823169282595861,0.158390123296562,1.99934778675953,0.0792208961069624,0.93685692413557,NA
"ENSRNA049458782",4.66439479416245,-1.54960880355571,1.5116367138382,-1.02511985146292,0.305306639776278,0.575738173833986
"ENSRNA049458795",1.71534668995776,-1.36979634861369,1.8790513165782,-0.728982937575181,0.466012099647644,NA
"ENSRNA049458812",1.07045893406459,-1.60963852357262,1.93320590487687,-0.832626529596254,0.405055392013891,NA
"ENSRNA049458826",2.58201915213989,0.286013922051975,1.26513354576431,0.226074095505218,0.821143791833222,NA
"ENSRNA049458846",1.03619129944654,1.11738878404773,2.03747396215378,0.548418681565168,0.583404451796186,NA
"ENSRNA049458874",2.17505753492167,-2.08625614770604,1.48305753933117,-1.40672636925935,0.159508543391387,NA
"ENSRNA049458957",1.81694587593312,-2.29007630888362,1.51676833141039,-1.50983921635162,0.131084455662862,NA
"ENSRNA049458986",1.01098756949841,-1.20845866857049,1.89009512710876,-0.639363940596493,0.522586201355853,NA
"ENSRNA049459076",5.98670910894642,-0.00152094716342972,1.03814538944197,-0.00146506181012591,0.998831050219252,1
"ENSRNA049459101",11.4090588038388,-0.722192779599792,0.89918648437118,-0.80316240529887,0.421880871778199,0.676298420352926
"ENSRNA049459132",1.78425548052542,-1.29648229023045,1.45147484776629,-0.893217193687952,0.371740872244031,NA
"ENSRNA049459156",5.95897530462309,-0.275698879305649,0.850687025586983,-0.324089672245105,0.74587014567878,0.894380786010197
"ENSRNA049459180",1.56746315658943,0.291897262459184,2.02743676584668,0.143973546981272,0.885521358430258,NA
"ENSRNA049459267",9.09378117485889,-0.130450337826587,0.831815087540077,-0.156826126119409,0.875381881955503,0.954674014407308
"ENSRNA049459300",23.0233538787097,-0.477034920814589,0.819515327457829,-0.582093958259904,0.560503394507685,0.781028053960512
"ENSRNA049459833",1.23658405488642,-0.426817739536416,1.34373613890679,-0.317635082646254,0.750761759143818,NA
"ENSRNA049459930",0.819399419803185,0.291892597069773,6.00631008342227,0.0485976569666978,0.961239937230373,NA
"ENSRNA049460030",0.207932682889363,0,6.00631008342226,0,1,NA
"ENSRNA049460169",52.2878558157121,-1.62237437371553,0.799971331528771,-2.02804064317545,0.0425561000871536,0.178698507488062
"ENSRNA049460422",2.40820829371042,-1.91540315147657,1.40598763078601,-1.36231863605071,0.173097348783024,NA
"ENSRNA049460686",0.0840595782855865,0,6.00631008342227,0,1,NA
"ENSRNA049460705",14.1652754482287,-2.19461338513255,0.635635525230955,-3.452628586697,0.000555152810626449,0.00822480240974262
"ENSRNA049460733",2.96267856808261,-1.91016619312723,1.62290063023642,-1.1770074874202,0.23919251777535,NA
"ENSRNA049460753",2.58157655530916,-3.63688419319076,1.60520798221495,-2.26567786447984,0.0234711137922033,NA
"ENSRNA049461441",0.0597821748388556,0,6.00631008342226,0,1,NA
"ENSRNA049461457",0.683649132658929,0.389848965711806,2.15555355708078,0.180857935276622,0.856479087071342,NA
"ENSRNA049461468",2.0236226029598,-4.27185760138741,2.01478257543653,-2.12025736844675,0.0339843467647235,NA
"ENSRNA049461520",0.0672660678014773,-1.6316660926088,6.00631008342226,-0.271658650643477,0.785884497933349,NA
"ENSRNA049461556",1.07389586901773,0,2.43180926458046,0,1,NA
"ENSRNA049461578",0.186736256089281,0,6.00631008342227,0,1,NA
"ENSRNA049461590",0.0606727740604319,0,6.00631008342226,0,1,NA
"ENSRNA049461612",0.975939039325332,-0.446006381569728,2.13167949534909,-0.209227692316236,0.834270495459279,NA
"ENSRNA049461634",0.290587871230506,0,4.56023769752308,0,1,NA
"ENSRNA049461681",0.0711806072234628,0,6.00631008342226,0,1,NA
"ENSRNA049461717",0.358507145769844,0,5.38301826934898,0,1,NA
"ENSRNA049461732",1.24706185189184,-1.24516549514843,1.83639365792822,-0.678049333144179,0.49774041424337,NA
"ENSRNA049461747",0.349636226612039,0.29189627630019,3.29656281363699,0.0885456436906629,0.929443008357563,NA
"ENSRNA049461765",1.19744062924572,-3.2476526808818,2.56123277087006,-1.26800371985658,0.204796622158538,NA
"ENSRNA049462071",5.81259701854885,-0.950042555837864,1.32901184044488,-0.714848827471578,0.474702460149247,0.719148089864277
"ENSRNA049462250",3.32877733330097,-1.47337231530118,1.21093330272566,-1.2167245809367,0.223709023380058,NA
"ENSRNA049462318",1.6456639521999,-1.01026740788641,1.71952837865009,-0.5875258707155,0.55685058063695,NA
"ENSRNA049462331",3.17163495281199,0.287599478853299,1.63577358587936,0.175818634886864,0.860436429166515,NA
"ENSRNA049462348",3.39288317394913,-1.70168469695199,0.899037140032404,-1.89278576065351,0.0583863659519981,NA
"ENSRNA049463047",0.338371429896735,0.962453475145573,5.32896065294559,0.180608103122994,0.856675195112865,NA
"ENSRNA049463067",0.367234589005286,0.111128691550526,3.27823532541199,0.0338989366288278,0.972957741149499,NA
"ENSRNA049463085",0.336833993062784,0,5.36748055064821,0,1,NA
"ENSRNA049463233",3.7610654047242,1.62598876686221,1.32040359234034,1.23143315899364,0.218160901532647,0.474343394440891
"ENSRNA049463586",0.0616105251356888,0,6.00631008342227,0,1,NA
"ENSRNA049463630",0.30755416400712,0,6.00631008342227,0,1,NA
"ENSRNA049463738",0.081713001915676,0,6.00631008342227,0,1,NA
"ENSRNA049463761",0.341916463125128,0.291896307572575,3.26390246747899,0.0894316881343679,0.928738840870858,NA
"ENSRNA049463774",1.55367587612571,1.22301294028271,1.60152870331887,0.763653462937157,0.445073780262035,NA
"ENSRNA049463790",2.51334312471952,-3.23389998960032,1.46253571844903,-2.21115966523522,0.0270247824109939,NA
"ENSRNA049463813",89.826430532683,-1.43993716605349,1.0042752004263,-1.43380735224992,0.151627246296594,0.385802441099147
"ENSRNA049463828",136.251732838967,-1.53051067661848,0.957876400440412,-1.59781645723267,0.110083830939915,0.318305020460095
"ENSRNA049463846",58.9217913667083,-1.53666659396912,1.13673993761491,-1.35181895446845,NA,NA
"ENSRNA049463865",138.868674135713,-1.06601836447601,0.852124458522877,-1.2510125179647,0.210929910400867,0.4658815744128
"ENSRNA049464122",0.241832945593703,0,6.00631008342227,0,1,NA
"ENSRNA049464595",1.2261398055756,-0.898260485521235,1.99310728728536,-0.450683458563175,0.652217705910426,NA
"ENSRNA049464622",0.639872863729778,-1.03572451951086,2.68159948905679,-0.386233859208841,0.699323479582948,NA
"ENSRNA049464940",4.69983344350059,-0.370510584301753,1.55498859367125,-0.238272220008378,0.811669966149594,0.926842690523465
"ENSRNA049464954",8.78734337253987,1.22841066645354,1.30452811281216,0.941651356064272,0.346371167294828,0.615145702661219
"ENSRNA049464979",0.165766724567943,-1.6316660926088,6.00631008342227,-0.271658650643477,0.785884497933349,NA
"ENSRNA049464994",0.773493757745451,0,2.56815450282622,0,1,NA
"ENSRNA049465110",6.2214317406001,-1.25162971933893,0.931339148545069,-1.34390326155001,0.178979671209935,0.424326790273958
"ENSRNA049465132",11.0983275773244,-0.769933456311107,1.529479226836,-0.503395824410019,0.614686006774559,0.817492773576345
"ENSRNA049465220",1.07340257899506,-1.92299982715585,1.60616775239847,-1.19725964133214,0.231205369809216,NA
"ENSRNA049465281",0.428899060939824,-1.63168422003325,3.72252458802821,-0.43832731831532,0.661149025445564,NA
"ENSRNA049465355",5.12912211187697,-1.45013156377855,1.35565499180886,-1.06969071964515,0.284758544980413,0.552435475348716
"ENSRNA049465399",2.03296272783363,1.24280453793129,1.95555846732147,0.635524101528685,0.525086652814276,NA
