"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNA049453717",0.0854320592776361,-1.44344060950502,5.73587203415213,-0.251651466579202,0.801310473877975,NA
"ENSRNA049453841",11.3800435888364,-1.25988172138783,0.671570503253377,-1.87602301662212,0.0606521194413823,0.159710469737279
"ENSRNA049454125",0.0707918143303816,1.3245779844218,5.74423078413337,0.230592751962635,0.817631198976186,NA
"ENSRNA049454293",0.223294540402231,0,5.770251760269,0,1,NA
"ENSRNA049454571",2.71168929538554,-1.2580920306505,1.2716013257718,-0.989376155208785,0.322479136477415,0.508534062605684
"ENSRNA049454750",3.33608000875742,-0.186099827795806,1.09250270323446,-0.17034267031545,0.864740655536875,0.927058370298849
"ENSRNA049454767",0.110883918175992,-1.439058906295,5.77025176033593,-0.249392741610847,0.803056999169783,NA
"ENSRNA049455185",4.50838117798302,-0.0774491002026244,1.23770888552417,-0.0625745691159233,0.950105280626365,0.975307251098599
"ENSRNA049455202",0.117726640928759,-1.43907491845922,5.77025176033593,-0.249395516561558,0.803054852875176,NA
"ENSRNA049455219",0.167470905301673,0,5.77025176028006,0,1,NA
"ENSRNA049455242",0.167470905301673,0,5.77025176028006,0,1,NA
"ENSRNA049455282",0.279118175502788,0,5.77025176026237,0,1,NA
"ENSRNA049455313",0.111647270201115,0,5.77025176030226,0,1,NA
"ENSRNA049455358",0.355603581675106,0,5.77025176027358,0,1,NA
"ENSRNA049455425",1.20261494955429,-1.08012150124874,1.41764331451144,-0.761913444794105,0.446111665103701,NA
"ENSRNA049455608",68.5948173694029,-0.957006735791266,0.759754364638295,-1.25962650605749,0.2078041290215,0.379237952880294
"ENSRNA049455651",2.15566339435148,2.25636233666816,1.76402809033501,1.27909660227669,0.200863039970627,0.370264450487554
"ENSRNA049456320",0.141304315133682,-2.02983868530605,5.7069227064873,-0.355680073080128,0.722080169806628,NA
