"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNA049453717",0.0854320592776361,0,5.77068407617317,0,1,NA
"ENSRNA049453841",11.3800435888364,1.30931748370995,0.611198745453211,2.14221232201495,0.0321764004069765,0.0753030136538736
"ENSRNA049454125",0.0707918143303816,0,5.77068407617317,0,1,NA
"ENSRNA049454293",0.223294540402231,-1.95660863963355,5.68962105522629,-0.343890853299673,0.730928370843427,NA
"ENSRNA049454571",2.71168929538554,0.00611008548630839,1.09082119843192,0.00560136298697878,0.995530782323732,1
"ENSRNA049454750",3.33608000875742,1.48741855891352,0.745499474499357,1.99519732715091,0.0460213624552766,0.101328858635548
"ENSRNA049454767",0.110883918175992,0.133004983546206,5.77068407617317,0.023048391107629,0.981611672665034,NA
"ENSRNA049455185",4.50838117798302,1.72253026382452,0.887612676844666,1.94063278810738,0.0523028341175835,0.112481147012803
"ENSRNA049455202",0.117726640928759,0,5.77068407617317,0,1,NA
"ENSRNA049455219",0.167470905301673,-1.53968762718197,5.70309767865461,-0.269973918375037,0.787180318929107,NA
"ENSRNA049455242",0.167470905301673,-1.53968762718197,5.70309767865461,-0.269973918375037,0.787180318929107,NA
"ENSRNA049455282",0.279118175502788,-2.27968073502425,5.6815344265149,-0.401243847856542,0.68824060083718,NA
"ENSRNA049455313",0.111647270201115,-0.951040990133807,5.7300447076417,-0.165974444992633,0.868177061154527,NA
"ENSRNA049455358",0.355603581675106,-0.482947901510015,5.69520408674369,-0.0847990509478209,0.932421148058116,NA
"ENSRNA049455425",1.20261494955429,0.133006938614773,1.97570374181822,0.0673212971153095,0.946325922701904,0.983665240443154
"ENSRNA049455608",68.5948173694029,0.412419353489704,0.717559408933245,0.574752903181668,0.565458422893505,0.701649082571244
"ENSRNA049455651",2.15566339435148,1.85818815478923,1.8798469884753,0.988478406051739,0.322918404939703,0.465514910335859
"ENSRNA049456320",0.141304315133682,0,5.77068407617317,0,1,NA
"ENSRNA049456343",3.8111110942954,-2.69367726526052,1.31676282547316,-2.04568143415848,0.0407877235414145,0.091769481935554
"ENSRNA049456385",0.255486664078973,0,5.47703862572877,0,1,NA
"ENSRNA049456416",0.649282412737955,0,2.56090491840919,0,1,NA
"ENSRNA049456552",33.2098775855485,0.104724396914242,0.694993856097767,0.150683917556114,0.880225060298021,0.945810144816112
"ENSRNA049456692",0.3249558104548,0,3.58007312634725,0,1,NA
"ENSRNA049456702",0.500353179535394,2.11205683235908,2.65122909543799,0.796633092173486,0.42566415251724,NA
"ENSRNA049456719",2.22715182555355,0.369407605128943,1.33976124817835,0.275726444268499,0.782758183073442,0.877617075134944
"ENSRNA049456746",0.140347383945712,0,5.77068407617317,0,1,NA
"ENSRNA049456769",0.0605882356694502,0,5.77068407617317,0,1,NA
"ENSRNA049456789",0.114814385961665,0.133004983546202,5.77068407617317,0.0230483911076284,0.981611672665035,NA
"ENSRNA049457014",0.231996695474212,2.1515245814935,5.76288299459794,0.373341708223179,0.708894138123242,NA
"ENSRNA049457503",1.27505007639454,-1.60213920605474,1.48260289055963,-1.08062598303042,0.279863519778398,0.417979206107505
"ENSRNA049457531",5.03340187251364,0.849661106002473,0.822502376135774,1.03301963696968,0.301594709098591,0.441986795118525
"ENSRNA049457570",0.752950402527709,-1.57969715208456,2.53453811525395,-0.623268256483204,0.533108254093835,NA
