,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNA049453841,20.81448578,0.193868168,0.591995135,0.327482704,0.743302823,0.886282413
ENSRNA049454571,1.196952099,1.107633604,1.328381627,0.833821834,0.40438139,NA
ENSRNA049454750,0.912594238,-1.770737177,1.862815993,-0.950570096,0.341822655,NA
ENSRNA049455185,11.11282315,0.159974418,0.584563125,0.273664915,0.784342142,0.908025261
ENSRNA049455425,3.433568034,0.193289263,0.834992424,0.231486247,0.816937068,0.925059903
ENSRNA049455608,5.752748389,1.374857394,1.041453646,1.320133065,0.186790595,0.417165662
ENSRNA049456300,0.104031864,0.168474347,5.963087801,0.02825287,0.97746047,NA
ENSRNA049456343,1.835162251,0.29124074,1.17198318,0.248502491,0.803745643,NA
ENSRNA049456552,1.519711739,1.082206405,2.077468964,0.520925426,0.602418722,NA
ENSRNA049456692,0.313728695,0.134577062,3.849893321,0.03495605,0.972114787,NA
ENSRNA049456702,0.517827285,0.134568208,2.84510786,0.047298104,0.962275639,NA
ENSRNA049456719,2.757363187,0.518553243,0.890827304,0.582102996,0.560497307,0.776142352
ENSRNA049456746,0.200267044,-1.472081468,5.990233117,-0.245746942,0.805878132,NA
ENSRNA049456769,0.148199253,0,6.005822624,0,1,NA
ENSRNA049456789,0.102767649,1.096310925,6.005822624,0.182541342,0.855157913,NA
ENSRNA049457503,0.082339096,0,6.005822624,0,1,NA
ENSRNA049457531,0.750661658,1.630168553,2.210724647,0.737391043,0.460884581,NA
ENSRNA049457749,0.06133664,0,6.005822624,0,1,NA
ENSRNA049457777,0.264410346,1.613972868,5.948284347,0.271334182,0.786134019,NA
ENSRNA049458426,0.83638055,-0.663463144,2.846286802,-0.233097783,0.815685476,NA
ENSRNA049458448,1.011469848,-0.455169472,1.562774965,-0.291257208,0.770854613,NA
ENSRNA049458467,1.290212794,2.55153316,1.658006183,1.538916553,0.123824669,NA
ENSRNA049458495,0.751393059,0.456512074,1.761804014,0.259116264,0.795545537,NA
ENSRNA049458582,0.615443005,-1.088056801,2.044465378,-0.532196247,0.594590082,NA
ENSRNA049458634,1.388786098,0.598792818,1.542050992,0.38830935,0.697787119,NA
ENSRNA049458706,0.820763415,0.545130954,2.55224317,0.213588956,0.830867613,NA
ENSRNA049458722,1.040955823,1.574925557,1.975411588,0.797264512,0.425297426,NA
ENSRNA049458758,1.676147079,-1.706433093,1.260659963,-1.353602988,0.175863073,NA
ENSRNA049458782,6.667398635,0.369799242,0.518789771,0.71281136,0.475962495,0.712590112
ENSRNA049458795,2.520273235,0.123597825,0.809692215,0.152647911,0.878675941,0.954622625
ENSRNA049458812,1.24937045,1.277919269,1.543379963,0.828000427,0.407670258,NA
ENSRNA049458826,4.416444069,0.949453387,0.635474843,1.494084932,0.135153422,0.33818947
ENSRNA049458846,1.180919766,-0.028279199,1.35450427,-0.020877895,0.98334306,NA
ENSRNA049458874,1.954553244,-0.055428403,0.925537741,-0.059887782,0.952245011,NA
ENSRNA049458957,1.632370006,-1.886361603,1.43554059,-1.314042679,0.188831842,NA
ENSRNA049458986,0.860308515,-0.954316817,1.723793038,-0.553614498,0.579842702,NA
ENSRNA049459076,14.70064761,0.291460912,0.425872723,0.68438502,0.493732073,0.726937213
ENSRNA049459101,8.425557339,0.551483764,0.586925352,0.939614827,0.347415168,0.6013071
ENSRNA049459132,3.476865996,-0.897327668,0.955975995,-0.938650838,0.347910042,0.601712378
ENSRNA049459156,7.707312285,-0.128484072,0.664987377,-0.193212798,0.846792316,0.939275478
ENSRNA049459180,2.305614152,0.08298572,1.079598719,0.07686719,0.938729199,NA
ENSRNA049459267,1.070286477,3.401351317,2.249175431,1.512265905,0.130466231,NA
ENSRNA049459300,4.033882171,3.301312654,0.871540735,3.78790402,0.000151924,0.001916783
ENSRNA049459833,1.694639558,-1.245586633,1.375384079,-0.905628219,0.365132668,NA
ENSRNA049459870,0.265711576,0,6.005822624,0,1,NA
ENSRNA049459930,0.109980549,0,6.005822624,0,1,NA
ENSRNA049460030,0.486494397,1.096368371,3.556811595,0.308244713,0.757896131,NA
ENSRNA049460169,21.70523161,1.039249329,0.459717342,2.260626767,0.023782379,0.103123827
ENSRNA049460422,1.466934211,1.944212916,2.005122701,0.969622914,0.332234487,NA
ENSRNA049460686,0.164115649,-3.019941433,5.925629887,-0.509640577,0.610303291,NA
ENSRNA049460705,26.82788645,-1.224260028,0.440772934,-2.777529956,0.005477379,0.03476029
ENSRNA049460733,1.827328821,0.068220129,1.519648131,0.044892056,0.964193349,NA
ENSRNA049460753,1.81693082,1.720931317,1.229908667,1.399235051,0.161742509,NA
ENSRNA049461441,0.326866316,2.045887357,5.083891226,0.402425478,0.687370923,NA
ENSRNA049461457,1.53350315,-0.52818985,1.148430897,-0.459923058,0.645571449,NA
ENSRNA049461468,0.965344573,3.968630634,2.513569158,1.57888261,0.114362985,NA
ENSRNA049461479,0.064018519,-0.827091648,6.005822624,-0.137714964,0.890465692,NA
ENSRNA049461520,0.177018552,0,6.005822624,0,1,NA
ENSRNA049461556,0.781603993,-1.84038161,2.609735159,-0.705198611,0.480686645,NA
ENSRNA049461578,0.83496228,0.770137031,1.766220903,0.436036642,0.662810145,NA
ENSRNA049461590,0.44626383,1.063730305,2.933270861,0.362643055,0.716871544,NA
ENSRNA049461612,1.407882593,0.943507551,2.141494196,0.440583753,0.659514367,NA
ENSRNA049461634,0.510768659,0.935828718,2.670109061,0.350483331,0.725975998,NA
ENSRNA049461681,0.080224158,0,6.005822624,0,1,NA
ENSRNA049461717,0.634606708,-0.397155994,2.065090525,-0.192318927,0.847492394,NA
ENSRNA049461732,0.871901262,1.294664314,1.961765442,0.659948578,0.509286829,NA
ENSRNA049461747,1.256185593,0.078735585,1.594877797,0.049367785,0.9606262,NA
ENSRNA049461765,1.211662903,-0.997442881,1.401924457,-0.71148119,0.476786103,NA
ENSRNA049462071,1.91568019,2.656330158,1.559917675,1.702865607,0.088593222,NA
ENSRNA049462250,2.331029458,2.518067096,1.734658048,1.451621603,0.146606849,NA
ENSRNA049462318,1.075197254,2.250229521,1.752294048,1.284162052,0.19908526,NA
ENSRNA049462331,2.19594022,1.626757358,1.022883107,1.590364868,0.111752585,NA
ENSRNA049462348,0.179199983,0,6.005822624,0,1,NA
ENSRNA049463024,0.433303044,1.096364516,4.094923098,0.26773751,0.788901374,NA
ENSRNA049463047,0.394769234,-0.8510753,4.185928859,-0.203318147,0.838886372,NA
ENSRNA049463067,1.208509823,0.387136185,1.314066307,0.294609323,0.768292339,NA
ENSRNA049463085,0.656260117,-0.287837273,1.707829194,-0.168539848,0.866158598,NA
ENSRNA049463233,2.866604842,1.396022292,1.043359812,1.338006578,0.180894293,0.408411397
ENSRNA049463586,0.242685874,0.134597986,6.005822624,0.022411249,0.982119907,NA
ENSRNA049463630,0.397928042,-1.485835453,4.165505301,-0.356699931,0.721316457,NA
ENSRNA049463738,0.074710765,1.096310925,6.005822624,0.182541342,0.855157913,NA
ENSRNA049463761,0.695234086,-0.174823723,2.05180732,-0.085204747,0.932098617,NA
ENSRNA049463774,1.975967221,1.122399945,1.520220615,0.738313857,0.460323748,NA
ENSRNA049463790,4.882545705,0.060437766,0.645449112,0.093636763,0.925397705,0.973494362
ENSRNA049463828,64.9709909,0.87803484,0.341562609,2.570640977,0.01015105,0.0552535
ENSRNA049463846,0.522778882,1.435124807,3.123312961,0.459487994,0.645883772,NA
ENSRNA049463865,110.2933529,0.084914388,0.27259513,0.311503687,0.75541774,0.89302712
ENSRNA049464122,0.258758143,-0.827072517,5.421833769,-0.152544794,0.878757263,NA
ENSRNA049464139,0.338955445,1.09636099,3.733845756,0.29362782,0.769042315,NA
ENSRNA049464595,3.191913691,-0.152797236,0.876073039,-0.174411526,0.861542057,0.945733091
ENSRNA049464622,1.392784806,-1.201226574,1.260799521,-0.952749865,0.340716822,NA
ENSRNA049464940,1.293832431,1.0963603,1.938133661,0.565678375,0.571612438,NA
ENSRNA049464954,4.733870489,0.734023302,1.141154634,0.643228604,0.520075776,0.74808896
ENSRNA049464979,0.51496139,-1.095191622,3.403083679,-0.321823301,0.747586561,NA
ENSRNA049464994,0.155091223,1.029279145,5.977544574,0.172190961,0.863287404,NA
ENSRNA049465015,0.059519636,1.991009963,5.97754752,0.333081411,0.739072831,NA
ENSRNA049465110,3.684139713,5.428628651,1.419607731,3.824034298,0.000131286,0.001698494
ENSRNA049465132,15.96932295,-0.073080922,0.396122699,-0.184490618,0.853628586,0.94212077
ENSRNA049465220,1.090437847,-2.77832282,1.660015459,-1.673672859,0.094194911,NA
ENSRNA049465281,0.15047868,0.931765829,5.983665002,0.155718248,0.876255113,NA
ENSRNA049465355,5.579602713,0.30138466,0.77575718,0.388503861,0.697643197,0.860044109
ENSRNA049465399,0.844623493,0.042061166,1.887412942,0.022285089,0.982220543,NA
ENSRNA049465410,4.595953625,0.335329508,0.699001046,0.479726761,0.631421696,0.823690702
ENSRNA049465449,7.28817341,0.380625136,0.553069511,0.68820488,0.491323771,0.725115235
ENSRNA049466300,0.077308869,-0.827091648,6.005822624,-0.137714964,0.890465692,NA
ENSRNA049466569,0.255783845,1.560554275,5.391838313,0.289428982,0.772253119,NA
ENSRNA049466579,0.268936265,-0.827066026,5.403433025,-0.153063066,0.878348542,NA
ENSRNA049466617,1.957171567,0.055736543,1.054548493,0.052853466,0.957848661,NA
ENSRNA049466632,1.110132265,0.986175561,1.840887735,0.53570652,0.592161397,NA
ENSRNA049466642,0.397272834,0.147217621,2.866003376,0.051366869,0.959033184,NA
ENSRNA049466657,0.26548449,1.484735942,4.500587608,0.329898242,0.741476852,NA
ENSRNA049466664,0.300776853,-2.670446104,3.653680539,-0.730892062,0.464845085,NA
ENSRNA049466676,1.088862218,-0.805847698,1.262498321,-0.638296055,0.523280979,NA
ENSRNA049466686,0.584382062,2.065684349,2.521319305,0.819287087,0.412622638,NA
ENSRNA049466693,3.254830529,3.90403845,1.404951947,2.778770091,0.005456513,0.034677638
ENSRNA049466701,9.780579894,1.319414519,0.665315924,1.983139845,0.047351811,0.168049525
ENSRNA049466709,3.276600713,0.028785203,0.837658297,0.034363896,0.972586973,0.991557061
ENSRNA049467046,0.814323938,0,3.27664708,0,1,NA
ENSRNA049467206,1.945256495,4.803908808,1.529054763,3.141750657,0.00167941,NA
ENSRNA049467432,0.081330167,0,6.005822624,0,1,NA
ENSRNA049467439,6.639459358,2.067575976,0.957242714,2.159928664,0.030778192,0.124111952
ENSRNA049467601,0.142295673,-0.82705727,6.005822624,-0.13770924,0.890470216,NA
ENSRNA049467857,0.068469894,-2.041107948,5.960742141,-0.342425138,0.732030974,NA
ENSRNA049468238,0.418947492,1.096356911,3.158990577,0.347059253,0.728546804,NA
ENSRNA049468582,1.953000006,1.29233324,1.678023542,0.770152031,0.441209715,NA
ENSRNA049468771,2.179644335,4.178516864,1.521155046,2.746936859,0.006015471,NA
ENSRNA049468913,0.278723258,-1.157352706,3.814122891,-0.303438756,0.761555514,NA
ENSRNA049468983,0.059915389,-0.827091648,6.005822624,-0.137714964,0.890465692,NA
ENSRNA049469023,0.369115517,0.134570994,4.100354457,0.032819356,0.973818642,NA
ENSRNA049469775,476.0161535,-0.198622974,0.213974697,-0.928254493,0.353275573,0.606354132
ENSRNA049469950,0.145205911,-0.827070572,6.005822624,-0.137711455,0.890468466,NA
ENSRNA049470085,0.843947017,2.619849766,1.99318975,1.314400581,0.188711435,NA
