"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNA049453693",0.0470515023272255,0,5.88967568613378,0,1,NA
"ENSRNA049453841",0.598663153078793,-0.189208582577508,2.82165765014144,-0.0670558253472118,0.946537260965165,NA
"ENSRNA049454125",0.394291654787629,0,3.23872516959113,0,1,NA
"ENSRNA049454571",0.320850754603729,-3.2654059457071,4.61386499729534,-0.707737644604099,0.47910819544852,NA
"ENSRNA049454750",0.930617779876568,0.217872381517165,1.75604165492973,0.124070167074643,0.901259718843812,0.944668586598632
"ENSRNA049455185",0.161017421080772,-2.04307690297038,5.81465972098334,-0.351366546110607,0.725313376715183,NA
"ENSRNA049455425",0.209048085272858,-0.10490365980146,5.88967568613378,-0.0178114492871716,0.985789270999125,NA
"ENSRNA049455608",8.42088279021256,0.474407423894803,0.709076213142846,0.669049976718416,0.503463598286719,0.625401626609667
"ENSRNA049456300",0.350375108488745,0,4.77223053016247,0,1,NA
"ENSRNA049456343",0.29019711849899,-1.71462756235526,5.8258425777456,-0.294314090961716,0.768517906211443,NA
"ENSRNA049456385",0.101224211533882,-0.94752701127292,5.86420422269331,-0.161578105961279,0.871638099644637,NA
"ENSRNA049456416",0.0432320800252969,-0.104903659801461,5.88967568613378,-0.0178114492871718,0.985789270999124,NA
"ENSRNA049456552",3.0480203800186,-0.425804411995679,0.965484053699936,-0.441026871820314,0.659193543232626,0.758580667266052
"ENSRNA049456692",0.280917201117893,-0.104903659801461,5.88967568613378,-0.0178114492871719,0.985789270999124,NA
"ENSRNA049456702",0.264811521533891,-1.95140917284704,3.93988905652499,-0.495295462600715,0.620391573334356,NA
"ENSRNA049456719",1.19213083929567,2.16096514736669,1.57197968456366,1.37467752833366,0.169231440995498,0.270404436759962
"ENSRNA049456746",0.402049433026899,0,3.91604892319729,0,1,NA
"ENSRNA049456789",0.144524208304177,-0.10490365980146,5.88967568613378,-0.0178114492871717,0.985789270999125,NA
"ENSRNA049457503",0.180947617508398,-1.94838442799134,5.2847486005839,-0.368680627073928,0.712365790434334,NA
"ENSRNA049457531",0.759641219714047,-1.84630107840238,2.02455397313056,-0.91195448622565,0.361792677239718,0.489834690346031
"ENSRNA049457570",0.0976899973639007,0.867556312409183,5.88873871832972,0.147324640114998,0.882875784678062,NA
"ENSRNA049457777",0.14935536794975,0.210579949046686,5.87761002833564,0.0358274788615595,0.971419922165208,NA
"ENSRNA049458208",0.163127820215114,1.81303917050529,5.88917438156649,0.307859651121934,0.75818912930992,NA
"ENSRNA049458426",0.27926331452184,-0.762776678883665,4.97931206805413,-0.153189169198176,0.878249098589857,NA
"ENSRNA049458448",3.17579882500437,0.0241770418567105,1.03966016213823,0.0232547545218878,0.981447062604198,0.996181149868287
"ENSRNA049458467",4.18250600500693,1.85395641748781,0.648164237133097,2.86031889955557,0.00423215195624985,0.0121886945350175
"ENSRNA049458495",0.59258791938571,0.109940315275033,1.89726839372124,0.0579466329797439,0.953791137755036,NA
"ENSRNA049458582",2.00354984169186,1.55091504299834,0.920160011093982,1.68548407266085,0.0918952152037591,0.164870056260232
"ENSRNA049458634",3.25103185535679,1.65245113469609,0.866981126592161,1.90598282247662,0.0566524343325805,0.111101129599683
"ENSRNA049458706",2.10960193838558,3.10620697951459,1.28877338417626,2.41020416595581,0.015943595615404,0.0382532999618678
"ENSRNA049458722",4.25139877529742,1.72534045627497,0.589824251555799,2.92517720613213,0.00344260123941171,0.0101661602746661
"ENSRNA049458758",1.45950069746983,0.113019819593789,1.59277653539473,0.0709577376877791,0.943431391103771,0.975700041356529
"ENSRNA049458782",6.50579880862092,-0.057335041334379,0.591626903319819,-0.0969108081675337,0.922797225534386,0.960241967354755
"ENSRNA049458795",5.85495536214078,-0.661118845887537,0.775366972228422,-0.852652833518904,0.393851854352776,0.521700247470134
"ENSRNA049458812",2.98934306407204,0.497235899520401,0.925983979210652,0.536981104083751,0.591280666493155,0.702804050411921
"ENSRNA049458826",10.3994339604405,1.24590447596034,0.500521561536055,2.48921239703795,0.0128026455382862,0.0316194928143201
"ENSRNA049458846",3.31519724812123,0.173260552209774,0.960564283182843,0.180373719118176,0.856859185033543,0.911870397575573
"ENSRNA049458874",5.19549593026757,0.54797542641797,0.728361527770066,0.75233988277173,0.451846689293309,0.577362208581459
"ENSRNA049458957",5.78404088519209,0.578252735514105,0.639074610851795,0.904828208936946,0.365556404789426,0.493655186820956
"ENSRNA049458986",3.44553589238527,0.385213738627674,0.903496565138209,0.426358830228367,0.66984639587607,0.766282833025069
"ENSRNA049459076",9.21174896401755,0.46381133733016,0.685265045500663,0.676834956598865,0.498510676289756,0.620628152789696
"ENSRNA049459101",5.50960314269202,0.163376179057807,0.697578459821288,0.234204736051716,0.814826038423041,0.880750135284371
"ENSRNA049459132",4.172517865379,1.2308865085737,0.809401414469396,1.52073678964424,0.128325902501475,0.216344640747193
"ENSRNA049459156",7.73366424355123,0.975206418103986,0.65171787525504,1.49636285136778,0.134559124677308,0.224506161261907
"ENSRNA049459180",2.01022457117142,1.11415391799946,1.13694754830669,0.979951906892123,0.327109858885734,0.453344133979089
"ENSRNA049459267",0.436489862067212,1.44936291585695,4.21434377360065,0.343911886100986,0.730912552697495,NA
"ENSRNA049459300",6.34007880372165,1.18832816928626,0.807367597552094,1.47185516596061,0.141059992800727,0.233193209359121
"ENSRNA049459833",1.7235892210276,-1.05255516985066,1.61164772065309,-0.653092581190218,0.513696594759806,0.634167496043402
"ENSRNA049459870",0.472959662179992,0.00318419491320535,2.25828913464863,0.00141000320302245,0.998874980586403,NA
"ENSRNA049459930",0.28753218276645,0,5.88967568613378,0,1,NA
"ENSRNA049460030",0.230450075034399,-0.154858357573637,5.85238996476081,-0.0264607038331503,0.97888987641411,NA
"ENSRNA049460066",0.455569059334911,0,4.61125675749361,0,1,NA
"ENSRNA049460169",1.77660146675054,-2.29625263340899,1.24898811915445,-1.83849037328194,0.0659901791078197,0.126071911893638
"ENSRNA049460422",4.04003517079855,0.169357097381118,0.787900451750769,0.214947328694628,0.829808384235094,0.891695763624034
"ENSRNA049460686",0.503098768978429,-1.49521224459244,2.35375819958474,-0.635244624896573,0.525268883007161,NA
"ENSRNA049460705",2.5288855335034,-3.15887797887891,1.38960240040071,-2.27322432515086,0.0230126651343713,0.0522711683961533
"ENSRNA049460733",0.365129934255116,-2.30980517698937,4.6123273009665,-0.500789520402284,0.616519261707075,NA
"ENSRNA049460753",0.384149519979348,-3.04415188545923,4.48298916017341,-0.679045114028668,0.497109277406855,NA
"ENSRNA049461441",1.47515834063379,1.05733410145176,1.38576360982169,0.762997450616997,0.445464916264888,0.570794321838762
"ENSRNA049461457",1.11926329400413,1.5435572088027,1.55022456909933,0.99569910035647,0.319396367365765,0.445303392475092
"ENSRNA049461468",0.123174830761031,-1.13048296559113,5.85315368101899,-0.193140830943349,0.846848676160964,NA
"ENSRNA049461479",0.180983501235962,-0.745582304880612,5.87811256615955,-0.126840426495564,0.899066698411495,NA
"ENSRNA049461505",0.113348826571028,1.82935514756238,5.88873708604028,0.310653221706741,0.756064262466128,NA
"ENSRNA049461556",0.845889428786607,-1.59205170442981,2.22855964220406,-0.714385953276644,0.474988555438814,0.598631686246894
"ENSRNA049461578",1.05415814681046,-1.59247469901548,2.27560567308446,-0.699802570300752,0.484050609365875,0.607405286303736
"ENSRNA049461590",0.672519333844481,0.853335668303247,2.39729212291705,0.355958149674684,0.721871906824082,NA
"ENSRNA049461612",0.608192614195577,-0.00335384017294736,2.37011405186494,-0.00141505433897089,0.998870950367036,NA
"ENSRNA049461634",1.70839297152358,0.739999494902192,1.20825317822839,0.612454002386507,0.54023742207405,0.658849758925581
"ENSRNA049461717",0.379821655294116,-0.104904898772366,3.32687705651433,-0.0315325444825058,0.974844838298897,NA
"ENSRNA049461732",1.49360298893996,0.125224164977369,1.24429675542189,0.100638504787317,0.91983742945953,0.957954554268645
"ENSRNA049461747",2.91443434057849,-0.743986986871173,1.34136387109629,-0.554649638999982,0.57913432910936,0.692324763229622
"ENSRNA049461765",0.960899466529143,-0.73254839122631,1.58018399235301,-0.46358423751369,0.642945649613772,0.74585371702175
"ENSRNA049462071",0.302807623789523,-2.7812121370205,5.79709281340714,-0.479759808328115,0.631398194781514,NA
"ENSRNA049462250",2.41417443963029,0.397756953305405,1.02446088661394,0.388259774973036,0.697823801789181,0.789367192339083
"ENSRNA049462318",0.978140020140064,0.246726086835036,2.07769223531668,0.118750064442258,0.905473371442951,0.947663751940356
"ENSRNA049462331",7.71541277884387,0.425873007939101,1.09812684661881,0.387817681764532,0.698150959500388,0.789613976898406
"ENSRNA049462348",0.0636641875223153,0.851265127053875,5.88917487552129,0.144547435769348,0.885068201396734,NA
"ENSRNA049463024",0.450337865247274,1.81399830389182,3.18140602247632,0.570187612356329,0.568550457074055,NA
"ENSRNA049463047",0.387639312380577,0.864923514029329,3.31368146007986,0.261015889562446,0.794080253793518,NA
"ENSRNA049463067",0.589738358126868,-0.732146279957692,3.02405900616619,-0.242107140920469,0.808697145129035,NA
"ENSRNA049463085",0.641186395865867,1.14743683712086,2.20782139710018,0.519714519765022,0.603262565309747,NA
"ENSRNA049463233",0.251963245220066,2.6725568759131,5.81989582453912,0.459210432022593,0.646083059936379,NA
"ENSRNA049463586",1.1686071934437,1.21229318416683,1.45288976757534,0.834401350482336,0.404054856498797,0.531687834759925
"ENSRNA049463630",1.06338171791364,2.63096271082022,1.72506244668487,1.5251405628105,0.127224041776461,0.21480370597117
"ENSRNA049463738",0.311038958854478,2.06226725163418,3.88520934216434,0.530799519411571,0.595557713135511,NA
"ENSRNA049463761",1.53422758599245,-0.543831588141634,1.60070348162079,-0.339745364701136,0.734048295532462,0.818330806111413
"ENSRNA049463774",2.25333541023855,-0.626941982750065,1.3117093248418,-0.477958013163989,0.632680089325614,0.737356187174767
"ENSRNA049463790",0.679591773512671,-3.27374072252502,2.07520121204823,-1.5775533974818,0.114668245725042,NA
"ENSRNA049463828",7.32654148821296,-2.5508237664259,0.620135879182506,-4.11333040395684,3.89991580496219e-05,0.000191921326106091
"ENSRNA049463846",1.92808186547713,-1.05505038763748,1.74991762022773,-0.602914317475233,0.546565690784957,0.664441532960141
"ENSRNA049463865",13.4920246621146,-2.459822344661,0.743678764305165,-3.30764096371539,0.000940853474979944,0.00325930196503311
"ENSRNA049464122",0.112984825713327,-1.12732956884525,5.85333258643498,-0.192596192373866,0.847275227146343,NA
"ENSRNA049464139",0.11285456204193,0.867567947308451,5.88873776039154,0.147326639869045,0.882874206327393,NA
"ENSRNA049464595",3.02635638780574,-0.646620222163041,0.793270852957895,-0.815131704073037,0.414996925708905,0.541947552951564
"ENSRNA049464622",4.23883035225553,-1.48344421575665,0.671280577019486,-2.20987209602161,0.0271140403238153,0.0600824398105106
"ENSRNA049464954",0.325574836663512,0.0393005614929568,3.72369955779179,0.0105541708945666,0.991579146325323,NA
"ENSRNA049464979",1.02572831096866,0.547553252561085,1.36721553519972,0.400487880999025,0.688797207846822,0.782447004325951
"ENSRNA049464994",0.064498904918699,0,5.88967568613378,0,1,NA
"ENSRNA049465015",0.043996020948733,-0.104903659801461,5.88967568613378,-0.0178114492871718,0.985789270999124,NA
"ENSRNA049465110",5.56239580419663,-1.02090725584804,0.824203000847772,-1.23865995974043,0.215471452828541,0.32705534806369
"ENSRNA049465132",1.82303595848861,-1.67786103368508,1.19424665239449,-1.40495351636191,0.160035101207266,0.258231836986621
"ENSRNA049465220",2.75561845387766,-0.211704576279796,0.886290227022765,-0.238865971692993,0.8112095124903,0.878010485123198
"ENSRNA049465281",1.50867717055434,-1.96034132167635,1.92480526491432,-1.01846215687882,0.308458376263401,0.433489043721489
"ENSRNA049465355",5.10092240232593,-0.323285979423979,0.78402012674605,-0.412343979950777,0.680087317354044,0.775140107846791
"ENSRNA049465399",1.87923685674114,-2.04450028357267,1.29645008595327,-1.57699884147053,0.114795791650802,0.197748406639223
"ENSRNA049465410",7.65670224656929,-1.66803863863064,1.17771628884326,-1.41633316481422,0.156677982065553,0.253802188977664
"ENSRNA049465449",5.6391665769745,-0.332274254233093,0.768766909991869,-0.432217164805659,0.665583585097638,0.763698346650002
"ENSRNA049465879",0.650656502984234,0.0809361857729914,4.78507759295673,0.0169142890999559,0.986504993344809,NA
"ENSRNA049466083",0.688362031749096,0,2.13360770996963,0,1,NA
"ENSRNA049466300",0.185837116553491,-0.10490365980146,5.88967568613378,-0.0178114492871717,0.985789270999124,NA
"ENSRNA049466569",0.607643826555351,0.659406829211739,2.46347013922847,0.267673968809809,0.788950288723429,NA
"ENSRNA049466579",0.528848494151481,2.74591698167684,3.74987076472494,0.732269764469673,0.464003930099237,NA
"ENSRNA049466617",3.29144280672218,-0.98053421398248,1.26241677310853,-0.776711966182174,0.437328725370808,0.563188059593214
"ENSRNA049466632",1.90616500083425,-1.78442627346564,1.65825624163813,-1.07608596829575,0.281888810465941,0.404372287443217
"ENSRNA049466642",1.57856318359317,-1.9676030501918,1.67324596626872,-1.17591979293964,0.23962692869153,0.355693571223319
"ENSRNA049466657",1.43150004896542,-1.050342317426,1.62932142511415,-0.644650160021316,0.519153921358927,0.63946739038824
"ENSRNA049466664",1.06027053075864,1.8225074383646,2.16854009820572,0.840430591932595,0.400667002618333,0.528390636657025
"ENSRNA049466676",3.15410654797212,-0.749222575127276,1.130453364487,-0.662762922084162,0.50748240383196,0.628996148849615
"ENSRNA049466686",1.1159501337969,0.212962678357335,2.05870485371688,0.10344497802725,0.917609816290614,0.956282561055289
"ENSRNA049466693",0.581735231315211,-1.28802388869338,3.48190846885045,-0.369918939632156,0.711442889112197,NA
"ENSRNA049466701",2.54496676753063,-2.37294336453823,1.32050399250239,-1.79699825067657,0.0723358974736106,0.13585571596341
"ENSRNA049466709",1.43909420889792,-2.96970560154555,1.87009476379288,-1.58799738871118,0.112286929604405,0.194197874883681
"ENSRNA049467046",0.128422553613457,-0.951043796915206,5.86397786721113,-0.162184070003579,0.871160904012391,NA
"ENSRNA049467206",0.490961149713877,-2.45495684758088,3.51161004253928,-0.699097228291806,0.484491270580852,NA
"ENSRNA049467439",2.24494771321275,-1.16939793905081,1.12233414051875,-1.041933856267,0.297442346072996,0.421397595323442
"ENSRNA049468238",0.675220915321533,-2.10483353238802,3.05107902274879,-0.689865295750921,0.490278901845729,NA
"ENSRNA049468582",0.291761680122235,0.70269211615039,4.69427406021422,0.149691327591198,0.881008150664142,NA
"ENSRNA049468771",0.574953947912285,1.05723219143613,2.90791540663511,0.363570476989736,0.716178776092935,NA
"ENSRNA049468913",1.12530173681774,1.37733256185334,2.13185805549389,0.646071420329274,0.518233103160178,0.638702242612218
"ENSRNA049469775",292.10065437808,-0.26551641434762,0.268068977514043,-0.990477961343776,0.321940556012737,0.448055906595066
"ENSRNA049470085",1.51852927517103,0.279829972738189,1.23496512520852,0.226589372465834,0.820743056916296,0.885159808002635
"ENSRNA049470248",0.0552836318268385,1.81304513915415,5.88917487552129,0.307860638795119,0.758188377734493,NA
"ENSRNA049470312",0.201862657444695,-2.23096916684415,5.80930988001199,-0.384033424438283,0.70095367432009,NA
"ENSRNA049470320",0.821428203242094,0.853988841768849,1.48475840922461,0.575170234068473,0.56517617164103,0.680847433317694
"ENSRNA049470333",0.0726627324134363,-0.947527813692577,5.86420689851182,-0.161578169067165,0.871638049946426,NA
"ENSRNA049470569",0.16269627128685,-0.888769627964992,5.82059542881764,-0.15269393635653,0.878639642776631,NA
"ENSRNA049470723",0.108702255528026,0,5.88967568613378,0,1,NA
"ENSRNA049470793",0.274754929691606,-0.104904192880133,4.95232797214843,-0.0211828040206762,0.983099831609275,NA
"ENSRNA049470799",0.236827989524622,2.57440961761231,5.86653240175321,0.438829864272623,0.660784819263485,NA
