,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNA049453717,0.121596725,-1.19923299,6.006310083,-0.199662184,0.841744791,NA
ENSRNA049453841,0.800186527,1.242772265,2.492322743,0.498640182,0.618032892,NA
ENSRNA049454125,0.222628481,0,6.006310083,0,1,NA
ENSRNA049454571,0.183041398,0,6.006310083,0,1,NA
ENSRNA049454750,0.552044792,0,3.043245797,0,1,NA
ENSRNA049455185,1.275329397,3.519476213,5.902060562,0.596313131,0.550966061,NA
ENSRNA049455425,0.997290418,0,2.132990455,0,1,NA
ENSRNA049455608,7.335834837,-1.644841528,0.641551575,-2.563849255,0.010351849,0.073695221
ENSRNA049456300,0.061761085,0,6.006310083,0,1,NA
ENSRNA049456320,0.106270073,0.7243257,6.006310083,0.120594124,0.904012524,NA
ENSRNA049456343,0.737828121,0.724336066,2.730329436,0.265292553,0.790784101,NA
ENSRNA049456416,0.062909383,0,6.006310083,0,1,NA
ENSRNA049456552,3.613311265,-1.796558588,0.923536132,-1.94530406,0.051738394,NA
ENSRNA049456692,0.162234484,0,6.006310083,0,1,NA
ENSRNA049456702,0.437643178,-0.237456689,3.230074386,-0.07351431,0.941396857,NA
ENSRNA049456719,1.28035469,-1.935019446,2.065448961,-0.936851737,0.348834828,NA
ENSRNA049456746,0.369917439,2.05830047,3.721842025,0.553032734,0.580240996,NA
ENSRNA049456789,0.325953619,-1.199245723,3.852420875,-0.311296653,0.755575112,NA
ENSRNA049457503,0.232759273,0,6.006310083,0,1,NA
ENSRNA049457531,0.771036546,-1.885108328,2.524856999,-0.74661984,0.455293069,NA
ENSRNA049458426,0.366562534,0.7243348,3.309214846,0.218884187,0.826740265,NA
ENSRNA049458448,1.895513568,0.618679967,0.997031011,0.620522291,0.534913983,NA
ENSRNA049458467,1.811020594,1.466868305,1.159390233,1.265206712,0.205797237,NA
ENSRNA049458495,0.475067388,1.960326642,3.607571217,0.543392361,0.586859684,NA
ENSRNA049458582,0.946635393,-1.42450452,1.657919331,-0.859212202,0.390223452,NA
ENSRNA049458634,1.17306868,-0.555309477,1.234279943,-0.449905615,0.652778498,NA
ENSRNA049458706,0.916089545,0.324724299,1.811535088,0.179253663,0.857738529,NA
ENSRNA049458722,1.478230107,0.302674799,1.452573845,0.208371368,0.834939011,NA
ENSRNA049458758,1.387949985,-2.293171724,1.641054944,-1.397376567,0.162300362,NA
ENSRNA049458782,4.030968335,0.791833071,0.886120342,0.893595411,0.371538402,NA
ENSRNA049458795,3.882871222,-0.552824444,0.915642575,-0.603755722,0.546006061,NA
ENSRNA049458812,1.658572604,-1.187161789,1.336861288,-0.888021666,0.374529097,NA
ENSRNA049458826,5.154900728,-0.226970062,0.892644254,-0.254267096,0.799289219,NA
ENSRNA049458846,1.844142049,-2.095100145,1.390526278,-1.50669583,0.131888641,NA
ENSRNA049458874,3.224783137,-0.573014999,0.92587582,-0.61888969,0.535989031,NA
ENSRNA049458957,5.868519962,0.389511095,0.673741092,0.578131718,0.563175195,NA
