"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNA049453841",27.8187485316039,1.01539234540801,0.573708900867372,1.76987378768722,0.0767481683256395,0.554701330538213
"ENSRNA049454125",0.0648877727423576,-0.587079770340622,5.98892378450136,-0.0980275908436029,0.921910384549546,NA
"ENSRNA049454571",1.74881630869106,-1.18699700233039,1.40285636560087,-0.846128678200051,0.397480963909744,NA
"ENSRNA049454750",4.30781941193807,1.26855152125746,1.03449331365137,1.22625395883899,0.220103121448368,0.769183951942849
"ENSRNA049454767",0.13815140676487,-0.668026152025634,5.98355479089154,-0.111643692649483,0.911105926836322,NA
"ENSRNA049455185",2.36409590916973,-0.812600654421242,0.884461421259619,-0.91875194880062,0.358225330994767,NA
"ENSRNA049455425",4.21485348001565,0.319703340706861,0.575189900273754,0.555822243322948,0.578332378033192,0.945422896979103
"ENSRNA049455608",59.2196007119811,-1.46030331531199,0.461242259447643,-3.16602237848016,0.00154538904077939,0.0723660914843471
"ENSRNA049455955",0.123059176007921,-0.825476453308616,6.00631008342227,-0.13743487130093,0.890687069239945,NA
"ENSRNA049456300",0.285455549736997,0,6.00631008342227,0,1,NA
"ENSRNA049456343",16.2470803970655,-0.135494255788149,0.592220118647949,-0.228790362775052,0.81903185753419,0.979813351503701
"ENSRNA049456385",0.373563184961728,0,6.00631008342227,0,1,NA
"ENSRNA049456416",0.389338702122734,-2.96585743787845,4.6595663441557,-0.636509327010313,0.524444503712046,NA
"ENSRNA049456552",18.6011246606725,-1.84873139926185,0.638478824827672,-2.89552500000424,0.00378524877580949,0.129059406736205
"ENSRNA049456692",0.671983494236924,-1.04128505953974,2.68889805991377,-0.387253453399098,0.698568581117695,NA
"ENSRNA049456702",0.61866102128813,1.23396311183227,1.78225533920413,0.692360451776395,0.488710995373686,NA
"ENSRNA049456719",3.63960970652907,-0.285744486948157,0.676851145413364,-0.422167398082259,0.672902836146903,0.959322638297556
"ENSRNA049456769",0.290088569230782,1.24006896926548,5.96612710303913,0.207851584092768,0.835344853776053,NA
"ENSRNA049456789",0.0452857105242671,1.09808223636996,6.00631008342227,0.182821436309244,0.854938128337274,NA
"ENSRNA049457503",1.05506567803972,0,2.19353446697316,0,1,NA
"ENSRNA049457531",2.02786114381083,-0.428924102325949,0.892101347606624,-0.480801989007963,0.63065723648317,NA
"ENSRNA049457570",0.764060353432764,-1.83222356839366,2.25801633754659,-0.811430607443892,0.417118428066505,NA
"ENSRNA049457749",0.223427341596086,2.78932103397418,5.52838264781093,0.504545580809003,0.61387804015627,NA
"ENSRNA049457777",0.0433636621006906,-0.825476453308616,6.00631008342227,-0.13743487130093,0.890687069239945,NA
"ENSRNA049458426",0.466015700477645,1.12224954600931,1.83396437660103,0.611925487936262,0.540587057385849,NA
"ENSRNA049458448",0.3658630451025,1.67128099768914,3.27768154687402,0.509897308139366,0.610123407928463,NA
"ENSRNA049458467",0.789255331976106,0.394566022287078,1.21149544396834,0.325685106164865,0.744662613936378,NA
"ENSRNA049458495",0.753523195861308,0.622736358987988,2.92360916854945,0.213002601608668,0.831324933457706,NA
"ENSRNA049458582",0.518101253277643,-0.673388074386006,2.05279149235251,-0.328035300659932,0.742884971994833,NA
"ENSRNA049458634",0.609054403832224,-0.212898451753206,1.98472276014666,-0.107268610018597,0.914575886402571,NA
"ENSRNA049458706",0.425860258614826,-0.456353685479993,1.97393880445259,-0.231189378541322,0.817167681210978,NA
"ENSRNA049458722",0.596153751011162,-1.71734311434133,2.04873016779367,-0.83824758444924,0.401891667256521,NA
"ENSRNA049458758",0.156451517341621,1.64914834522251,5.9070567315738,0.279182750422498,0.780104580723093,NA
"ENSRNA049458782",13.2909700379659,-0.175876783384328,0.367280903635682,-0.478861769406845,0.632036969995599,0.956125232321568
"ENSRNA049458795",1.97044642050654,-0.0944447769895247,0.753094699858621,-0.12540889878425,0.900199843523669,NA
"ENSRNA049458812",2.0007617958557,-1.03201657920389,0.739185823450068,-1.39615310043023,0.162668396304678,NA
"ENSRNA049458826",12.7126040756554,0.13483070880798,0.335829057050144,0.401486131046273,0.688062247082228,0.960109466729153
"ENSRNA049458846",1.58119751813616,-0.772369483853364,0.91712924144273,-0.842159914821116,0.399698447902953,NA
"ENSRNA049458874",1.60241034689446,0.688480956869768,0.817673207424541,0.842000142132949,0.399787873893863,NA
"ENSRNA049458957",3.13344054139385,0.543367487546885,0.607037024560393,0.89511424437477,0.370726020171212,0.875076042312086
"ENSRNA049458986",2.70368459608129,0.678532395149999,0.721585409579331,0.940335525278385,0.347045482613159,NA
"ENSRNA049459026",0.114155890248623,0,6.00631008342227,0,1,NA
"ENSRNA049459076",3.00786522018618,0.0961267223160791,0.674548720589614,0.142505232582838,0.886680946550265,0.989950558368002
"ENSRNA049459101",10.615981808898,-0.326596177518196,0.465215410309697,-0.702032156030211,0.482659110114946,0.919510057701546
"ENSRNA049459132",6.16345466010205,-0.013101655082858,0.498879862670269,-0.0262621445827278,0.979048248736188,0.999657005126553
"ENSRNA049459156",2.90845977862214,-0.0963097855096161,0.741530929149618,-0.129879660744648,0.896661636345324,NA
"ENSRNA049459180",1.43051749315659,-0.22237837878933,1.01302207530141,-0.219519775739501,0.826245176710679,NA
"ENSRNA049459243",0.144924808707947,-1.54885813093663,5.9889203627137,-0.258620592215524,0.795927993370316,NA
"ENSRNA049459267",4.08388902026983,-1.59353066730822,0.826319068356873,-1.92846895143898,0.0537968225781904,0.485673836987429
"ENSRNA049459300",11.7635426374614,-1.78961530285993,0.675870737533079,-2.64786623162886,0.00810015698088934,0.192620976559987
"ENSRNA049459833",0.277149737969206,-0.116660123500193,4.01731889351568,-0.0290392987443673,0.976833247934225,NA
"ENSRNA049459930",0.065993104683366,0,6.00631008342227,0,1,NA
"ENSRNA049460030",0.367047329930019,1.50832681211981,3.03287639912984,0.497325513348506,0.618959522940219,NA
"ENSRNA049460169",78.1108278077062,0.0148226423642201,0.322336535995248,0.0459849899374692,0.963322213548062,0.998343732677785
"ENSRNA049460407",0.383994871493734,-0.825476453308618,6.00631008342227,-0.13743487130093,0.890687069239945,NA
"ENSRNA049460422",6.62577506041638,-1.1353686498897,0.793948036320657,-1.43002891618861,0.152708720035765,0.696855229270676
"ENSRNA049460686",1.5197269422332,0.732175086604542,1.87499542655058,0.390494332005663,0.696171045721176,NA
"ENSRNA049460705",54.5624341670606,0.00766507706933376,0.448206040081353,0.0171016817799744,0.986355497242883,1
"ENSRNA049460733",13.3829379188348,-0.20830107821696,0.750473360390251,-0.277559590001493,0.781350456126128,0.973888632846746
"ENSRNA049460753",2.97328416211306,-2.42810259252212,1.12834887951333,-2.15190765605172,0.0314046281449122,0.389246479455986
"ENSRNA049461002",0.207961860253087,0,6.00631008342227,0,1,NA
"ENSRNA049461441",0.95926141126437,-0.406424198103072,1.51347956152114,-0.268536297704999,0.788286538981203,NA
"ENSRNA049461457",4.25680709276968,0.125298756615455,0.824886610130702,0.151898157973011,0.879267261160652,0.989533437315871
