"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNA049453841",21.6559360928197,-0.270273898165027,1.08437771212182,-0.249243317290409,0.803172574086981,1
"ENSRNA049454571",4.32560392876769,0.980999156295842,1.3017600377317,0.753594462774583,0.4510927702642,1
"ENSRNA049454750",1.09980880199869,2.16790541965111,2.08375323706559,1.04038490790974,0.298161110544915,1
"ENSRNA049454767",0.0636674438004092,-1.17833429576547,6.00631008342227,-0.196182727731246,0.844467146641553,NA
"ENSRNA049455185",6.65787198528993,-1.09464844011195,1.0514484228789,-1.04108619718576,0.297835544980631,1
"ENSRNA049455202",0.0773749218956119,0.745224393913106,6.00631008342227,0.124073579878928,0.901257016698393,NA
"ENSRNA049455313",0.55207664628695,0,5.85526500601788,0,1,1
"ENSRNA049455425",5.36234799699805,0.456709865954885,1.36024429436318,0.335755766701232,0.737055048690166,1
"ENSRNA049455608",12.6979508150815,0.474609184829637,0.91403593377296,0.519245652488239,0.603589447096517,1
"ENSRNA049455651",0.302748955258427,0.745226514753991,5.51218962135041,0.135196095552936,0.892456834050336,NA
"ENSRNA049456343",7.85574375347906,0.403750084139624,1.10300110001623,0.366046855378187,0.714330112658701,1
"ENSRNA049456385",0.359105351574709,1.79196468364447,3.11756103311906,0.574796985402286,0.565428605793053,NA
"ENSRNA049456416",0.15539047560654,0,6.00631008342227,0,1,NA
"ENSRNA049456552",2.69346860981481,-0.211468641408258,1.00481592711234,-0.210455104962339,0.833312487990538,1
"ENSRNA049456692",0.140381773149432,-1.17833429576547,6.00631008342226,-0.196182727731246,0.844467146641553,NA
"ENSRNA049456702",0.325522748065313,0.725962715407351,4.47764955691481,0.162130311043715,0.871203237206892,NA
"ENSRNA049456719",0.654265346687155,-0.381319821336846,2.05914482492967,-0.185183585302151,0.853085043452441,1
"ENSRNA049457503",0.383209254601007,0.857625497078699,4.38622042111173,0.195527222697423,0.844980228308341,NA
"ENSRNA049457531",1.91443006804437,-0.876026902036835,1.1402684283631,-0.768263752855465,0.44233050452484,1
"ENSRNA049457570",0.0812619732154933,-1.17833429576547,6.00631008342227,-0.196182727731246,0.844467146641553,NA
"ENSRNA049457749",0.93702719836786,1.43899716174436,5.9420170239239,0.242173180580034,0.808645975397181,1
"ENSRNA049457777",0.185859023656111,1.31366453643252,5.94674512225245,0.220904799083595,0.825166560600528,NA
"ENSRNA049458426",0.285845457429019,0.79401832080437,4.59233510395858,0.172900779849434,0.862729418655122,NA
"ENSRNA049458448",0.350367825388989,-2.96975800160492,3.12672790121554,-0.949797390572553,0.342215212044641,NA
"ENSRNA049458467",0.339341221766143,-2.53877377429789,3.74780499724855,-0.677402846776107,0.498150392622176,NA
"ENSRNA049458495",0.626991416602076,-0.216558218962254,2.42793937232954,-0.0891942448935503,0.928927539059071,1
"ENSRNA049458582",0.337142548121551,-0.216557914852164,2.95015874955238,-0.0734055124609894,0.941483431122494,NA
"ENSRNA049458634",0.369466741080473,2.03158912284657,3.11091580403017,0.653051786298641,0.51372289331168,NA
"ENSRNA049458706",0.203717502534285,-1.91656779375413,5.98804241295885,-0.320065834805453,0.748918424277189,NA
"ENSRNA049458722",0.0814314795040966,-1.17833429576547,6.00631008342227,-0.196182727731246,0.844467146641553,NA
"ENSRNA049458758",0.823169282595861,-0.946852719293841,1.537871355169,-0.615690458185164,0.538098836069194,1
"ENSRNA049458782",4.66439479416245,-0.782567069411956,0.908322939136038,-0.86155158665959,0.388934322036987,1
"ENSRNA049458795",1.71534668995776,0.0225253711924507,1.50984595617895,0.0149189863378228,0.988096812700801,1
"ENSRNA049458812",1.07045893406459,-0.737464995747114,1.42632835774773,-0.517037322956702,0.60513010503766,1
"ENSRNA049458826",2.58201915213989,-0.0885068935444795,1.03539351699881,-0.0854814059499091,0.93187867726186,1
"ENSRNA049458846",1.03619129944654,-1.44790538196744,1.62072455135333,-0.893369191426399,0.371659495630772,1
"ENSRNA049458874",2.17505753492167,1.43134803638112,1.11901072979862,1.27911913466523,0.200855106394131,1
"ENSRNA049458957",1.81694587593312,-0.00960636036145271,1.53714769188164,-0.00624947128515249,0.995013675805973,1
"ENSRNA049458986",1.01098756949841,0.288531642334496,1.85349503617496,0.155668958752614,0.876293966162665,1
"ENSRNA049459076",5.98670910894642,0.19989503422733,1.03755509913759,0.192659680814524,0.847225501852273,1
"ENSRNA049459101",11.4090588038388,0.897604141345166,0.845372034434868,1.06178594131661,0.288332873510375,1
"ENSRNA049459132",1.78425548052542,-0.0949174824077922,1.34051069644567,-0.0708069563782398,0.943551395334555,1
"ENSRNA049459156",5.95897530462309,0.0557848201984449,0.761682099316408,0.0732389802103928,0.94161594793951,1
"ENSRNA049459180",1.56746315658943,-0.852480885086117,1.42530767981416,-0.598103060243995,0.549771168449482,1
"ENSRNA049459267",9.09378117485889,0.500671276083578,0.915886600654179,0.546652037191034,0.584617811327888,1
"ENSRNA049459300",23.0233538787097,0.458857966016671,0.801965337818143,0.572166831131452,0.567208956207433,1
"ENSRNA049459833",1.23658405488642,0.0933413971344128,1.26420531440167,0.0738340490038123,0.941142433768097,1
"ENSRNA049459930",0.819399419803185,-0.216554950926178,6.00631008342226,-0.0360545739261583,0.971238843512339,1
"ENSRNA049460030",0.207932682889363,-1.17833429576547,6.00631008342227,-0.196182727731246,0.844467146641553,NA
"ENSRNA049460169",52.2878558157121,0.0703146247983928,0.786299595072502,0.0894247246711469,0.928744374738064,1
"ENSRNA049460422",2.40820829371042,0.726001040714657,1.38671221009692,0.523541247728623,0.600597654741633,1
"ENSRNA049460686",0.0840595782855865,0.745224393913105,6.00631008342227,0.124073579878928,0.901257016698394,NA
"ENSRNA049460705",14.1652754482287,-0.0632673349830582,0.551599505050378,-0.114697954591674,0.908684535228849,1
"ENSRNA049460733",2.96267856808261,-0.0472340502908998,1.66235256771819,-0.0284139786036696,0.977331975389587,1
"ENSRNA049460753",2.58157655530916,-0.179073520120375,1.17399697678612,-0.152533203799722,0.878766403981683,1
"ENSRNA049461441",0.0597821748388556,-2.00667942112962,5.98213761614298,-0.335445212045028,0.737289267253757,NA
"ENSRNA049461457",0.683649132658929,-0.845291621456379,1.7919977314149,-0.47170351091291,0.637138430769039,1
"ENSRNA049461468",2.0236226029598,1.52884448896115,1.69375694038996,0.902635113990539,0.366719583955047,1
"ENSRNA049461520",0.0672660678014773,0,6.00631008342227,0,1,NA
"ENSRNA049461556",1.07389586901773,1.99789830322347,2.2238230038583,0.898407067359743,0.36896857004091,1
"ENSRNA049461578",0.186736256089281,-0.530945491711854,5.94200136229832,-0.0893546566785857,0.928800057993527,NA
"ENSRNA049461590",0.0606727740604319,0.745224393913105,6.00631008342227,0.124073579878928,0.901257016698394,NA
"ENSRNA049461612",0.975939039325332,-3.62252840415146,2.06926611385887,-1.75063438186594,0.08000890894206,1
"ENSRNA049461634",0.290587871230506,0.745230087689464,4.56023769752308,0.163419132317212,0.870188439961655,NA
"ENSRNA049461681",0.0711806072234628,0.745224393913106,6.00631008342227,0.124073579878928,0.901257016698393,NA
"ENSRNA049461717",0.358507145769844,-0.102226723618831,5.32090735344608,-0.019212272800169,0.984671767131595,NA
"ENSRNA049461732",1.24706185189184,-0.179998773791268,1.71233526220482,-0.105118885164754,0.916281474130758,1
"ENSRNA049461747",0.349636226612039,-1.20592886523856,3.12201383374391,-0.386266342642184,0.699299424548838,NA
"ENSRNA049461765",1.19744062924572,-2.13570235229568,2.63132148761802,-0.811646301048912,0.416994615331724,1
"ENSRNA049462071",5.81259701854885,0.168732059846007,1.42917035050087,0.118062944551622,0.90601778401728,1
"ENSRNA049462250",3.32877733330097,0.780790118277954,1.32761202548199,0.588116184014294,0.556454310846375,1
"ENSRNA049462318",1.6456639521999,-1.03796509586043,1.70944278264981,-0.607194991488093,0.54372151570065,1
"ENSRNA049462331",3.17163495281199,-0.474532092343417,1.46417236357741,-0.324095785542621,0.745865517530179,1
"ENSRNA049462348",3.39288317394913,-0.440654286130328,1.02768148454433,-0.42878488399128,0.668079780371372,1
"ENSRNA049463047",0.338371429896735,0,5.34719850368933,0,1,NA
"ENSRNA049463067",0.367234589005286,-0.21655766612148,3.31670507898726,-0.0652930124820156,0.947940705706083,NA
"ENSRNA049463085",0.336833993062784,-2.9363507482047,5.29138737642192,-0.554930217600187,0.578942392220688,NA
"ENSRNA049463233",3.7610654047242,-0.229803941589603,1.15548681410781,-0.198880626575598,0.842356124540194,1
"ENSRNA049463586",0.0616105251356888,0.745224393913105,6.00631008342227,0.124073579878928,0.901257016698394,NA
"ENSRNA049463630",0.30755416400712,-1.17833429576547,6.00631008342226,-0.196182727731246,0.844467146641553,NA
"ENSRNA049463738",0.081713001915676,0,6.00631008342227,0,1,NA
"ENSRNA049463761",0.341916463125128,1.79201324226446,3.12247652998624,0.573907673942504,0.566030279840104,NA
"ENSRNA049463774",1.55367587612571,-0.745814374296498,1.37195151999985,-0.54361569153448,0.586705959472534,1
"ENSRNA049463790",2.51334312471952,-1.1528249211758,1.55062406003638,-0.743458682789145,0.457204027302451,1
"ENSRNA049463813",89.826430532683,0.934066245092175,0.996901081551215,0.936969838209758,0.348774073025567,1
"ENSRNA049463828",136.251732838967,0.299639257913005,0.960906121163034,0.311829898169799,0.755169800727763,1
"ENSRNA049463846",58.9217913667083,-0.00753300286941136,1.10657551201469,-0.0068074910276086,NA,NA
"ENSRNA049463865",138.868674135713,0.572043384828018,0.853848553108448,0.669958838421036,0.502884030000224,1
"ENSRNA049464122",0.241832945593703,-1.17833429576547,6.00631008342226,-0.196182727731246,0.844467146641553,NA
"ENSRNA049464595",1.2261398055756,-0.969283363553581,2.17727665294345,-0.445181535494449,0.656188569334269,1
"ENSRNA049464622",0.639872863729778,1.7892512993312,2.84097494348158,0.629801858491048,0.528824229565485,1
"ENSRNA049464940",4.69983344350059,0.808210365456905,1.66958023909708,0.484079978027285,0.628329110178313,1
"ENSRNA049464954",8.78734337253987,-1.01820087324441,1.39633844898252,-0.729193465943981,0.465883327537226,1
"ENSRNA049464979",0.165766724567943,0,6.00631008342227,0,1,NA
"ENSRNA049464994",0.773493757745451,0.397244694348042,2.24787844211775,0.176719829197612,0.859728464568919,1
"ENSRNA049465110",6.2214317406001,-0.667970015215233,0.983055825928968,-0.679483298503435,0.496831686434141,1
"ENSRNA049465132",11.0983275773244,0.363517439046073,1.34806548095786,0.269658591649256,0.787422919794525,1
"ENSRNA049465220",1.07340257899506,1.57380367028968,1.53765470961736,1.02350915354808,0.306067174221989,1
"ENSRNA049465281",0.428899060939824,2.69582577500331,3.60195272416983,0.748434524671513,0.454198104527087,NA
"ENSRNA049465355",5.12912211187697,-1.99237721243377,1.2439605122274,-1.6016402392599,0.109235187200544,1
"ENSRNA049465399",2.03296272783363,1.61928646218684,1.5361072074379,1.05414938120607,0.291814530773846,1
"ENSRNA049465410",2.57202753976106,-0.686984103923336,1.01653581874715,-0.67580904799796,0.499161889328408,1
"ENSRNA049465449",13.7020403095046,1.05987548250899,0.773567954696803,1.37011296302262,0.170651641904105,1
"ENSRNA049466300",0.155147786206175,3.15673129823136,5.92073440248826,0.533165496649319,0.593919023482112,NA
"ENSRNA049466569",0.078709604590367,0,6.00631008342227,0,1,NA
"ENSRNA049466579",0.0474459090659522,0.745224393913105,6.00631008342227,0.124073579878928,0.901257016698394,NA
"ENSRNA049466617",1.02166182844326,0.897628636875827,1.40820057682759,0.637429533581088,0.523845096146233,1
